text,label
"I love this dress, perfect fit",1
Beautiful design and great quality,1
Very happy with my purchase,1
"Awesome product, highly recommend",1
Fantastic service,1
"Amazing fabric, feels luxurious",1
Exceeded my expectations,1
Best buy ever,1
Love it! 5 stars,1
Great value for money,1
Super comfortable,1
Stunning and elegant,1
"Quick delivery, perfect condition",1
I'm obsessed with this,1
"Top quality, worth every penny",1
Flawless experience,1
Incredible product,1
So happy I bought this,1
Excellent craftsmanship,1
Will buy again,1
Outstanding!,1
Pure perfection,1
Thrilled with the results,1
Masterpiece,1
Couldn't be happier,1
"I hate this dress, terrible fit",0
Poor quality material,0
Worst purchase of my life,0
Not as described,0
Bad experience overall,0
"Disappointed, returned it",0
Horrible service,0
Waste of money,0
Broke after one use,0
Doesn't look like the picture,0
Uncomfortable and itchy,0
"Slow shipping, damaged item",0
Never buy from here again,0
Total scam,0
Very disappointed,0
Not worth the price,0
Awful color,0
Faded after first wash,0
Poor customer support,0
Regret buying this,0
Ugly design,0
Too small/large,0
Defective product,0
Misleading advertisement,0
Garbage quality,0
Do not recommend,0
Big mistake,0
